Time,Backend,GPU_ID,VRAM_MB,Power_W,GPU_Util
1781677941.31,ROCM_SMI,GPU_0,7861.8,209.0,100.0
1781677943.50,ROCM_SMI,GPU_0,7861.8,209.0,100.0
1781677945.70,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781677947.89,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781677950.08,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781677952.28,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781677954.48,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781677956.67,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781677958.87,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781677961.06,ROCM_SMI,GPU_0,7861.8,210.0,100.0
1781677963.26,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781677965.45,ROCM_SMI,GPU_0,7861.8,212.0,100.0
1781677967.65,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781677969.85,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781677972.04,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781677974.23,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781677976.43,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781677978.62,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781677980.82,ROCM_SMI,GPU_0,7861.8,207.0,100.0
1781677983.01,ROCM_SMI,GPU_0,7861.8,217.0,81.0
1781677985.21,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781677987.40,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781677989.60,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781677991.79,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781677993.98,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781677996.18,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781677998.37,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678000.57,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678002.76,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678004.96,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678007.15,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678009.35,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781678011.54,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678013.73,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678015.92,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678018.11,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678020.30,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678022.49,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678024.69,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678026.88,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678029.07,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678031.26,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678033.45,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678035.64,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678037.83,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781678040.03,ROCM_SMI,GPU_0,7861.8,212.0,100.0
1781678042.22,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678044.42,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678046.61,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678048.80,ROCM_SMI,GPU_0,7861.8,225.0,100.0
1781678050.99,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678053.18,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678055.37,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678057.56,ROCM_SMI,GPU_0,7861.8,212.0,100.0
1781678059.75,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678061.94,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678064.14,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678066.33,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678068.52,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678070.71,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678072.90,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678075.09,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678077.28,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678079.47,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678081.66,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678083.86,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678086.05,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678088.24,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678090.43,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678092.62,ROCM_SMI,GPU_0,7861.8,221.0,83.0
1781678094.81,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678097.00,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678099.19,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678101.38,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678103.58,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678105.77,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678107.96,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678110.15,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678112.34,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678114.53,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678116.73,ROCM_SMI,GPU_0,7861.8,196.0,100.0
1781678118.92,ROCM_SMI,GPU_0,7861.8,215.0,90.0
1781678121.11,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678123.31,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678125.50,ROCM_SMI,GPU_0,7861.8,223.0,100.0
1781678127.69,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678129.88,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678132.07,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678134.26,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678136.45,ROCM_SMI,GPU_0,7861.8,212.0,100.0
1781678138.64,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678140.83,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678143.02,ROCM_SMI,GPU_0,7861.8,211.0,100.0
1781678145.21,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678147.41,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678149.60,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678151.79,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678153.98,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678156.17,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678158.36,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678160.55,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678162.74,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678164.93,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678167.12,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678169.31,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678171.50,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678173.69,ROCM_SMI,GPU_0,7861.8,223.0,100.0
1781678175.88,ROCM_SMI,GPU_0,7861.8,224.0,100.0
1781678178.07,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678180.26,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678182.45,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678184.65,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678186.84,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678189.03,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678191.23,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678193.41,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678195.61,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678197.80,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678199.99,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678202.18,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678204.37,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678206.57,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678208.76,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678210.95,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678213.14,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678215.33,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678217.52,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678219.71,ROCM_SMI,GPU_0,7861.8,209.0,100.0
1781678221.90,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678224.09,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678226.28,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678228.47,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678230.66,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678232.85,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678235.04,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678237.23,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678239.42,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678241.61,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678243.80,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678245.99,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678248.18,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678250.38,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678252.57,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678254.76,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678256.95,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678259.14,ROCM_SMI,GPU_0,7861.8,223.0,100.0
1781678261.33,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678263.52,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678265.71,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678267.90,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678270.10,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678272.29,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678274.48,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678276.67,ROCM_SMI,GPU_0,7861.8,223.0,100.0
1781678278.86,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678281.06,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678283.25,ROCM_SMI,GPU_0,7861.8,214.0,100.0
1781678285.44,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678287.63,ROCM_SMI,GPU_0,7861.8,213.0,100.0
1781678289.83,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678292.02,ROCM_SMI,GPU_0,7861.8,224.0,100.0
1781678294.21,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678296.40,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678298.59,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678300.78,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678302.97,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678305.16,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678307.35,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678309.56,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678311.75,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678313.94,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678316.13,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678318.32,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678320.51,ROCM_SMI,GPU_0,7861.8,217.0,100.0
1781678322.70,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678324.89,ROCM_SMI,GPU_0,7861.8,216.0,100.0
1781678327.08,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678329.27,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678331.46,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678333.66,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678335.85,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678338.04,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678340.23,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678342.42,ROCM_SMI,GPU_0,7861.8,221.0,100.0
1781678344.61,ROCM_SMI,GPU_0,7861.8,215.0,100.0
1781678346.80,ROCM_SMI,GPU_0,7861.8,231.0,100.0
1781678349.00,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678351.19,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678353.38,ROCM_SMI,GPU_0,7861.8,220.0,100.0
1781678355.57,ROCM_SMI,GPU_0,7861.8,218.0,100.0
1781678357.76,ROCM_SMI,GPU_0,7861.8,219.0,100.0
1781678359.96,ROCM_SMI,GPU_0,7861.8,222.0,100.0
1781678362.15,ROCM_SMI,GPU_0,7861.8,218.0,100.0
