Epoch, PDE_Loss, BC_Loss
0.000000000000000000e+00 1.761831641197204590e+00 3.397302150726318359e+00
1.000000000000000000e+02 2.603372558951377869e-02 1.429875846952199936e-03
2.000000000000000000e+02 4.300837870687246323e-03 3.291259927209466696e-04
3.000000000000000000e+02 2.947095781564712524e-02 1.892301952466368675e-03
4.000000000000000000e+02 5.453438311815261841e-02 6.319207139313220978e-03
5.000000000000000000e+02 3.914052620530128479e-03 4.635127261281013489e-04
6.000000000000000000e+02 2.282395726069808006e-03 5.624482291750609875e-04
7.000000000000000000e+02 1.800912059843540192e-02 2.140137366950511932e-03
8.000000000000000000e+02 3.709034295752644539e-03 1.249493681825697422e-03
9.000000000000000000e+02 5.326335784047842026e-03 5.061033880338072777e-04
1.000000000000000000e+03 3.741954267024993896e-02 1.025807764381170273e-02
1.100000000000000000e+03 4.447991668712347746e-04 5.650496314046904445e-05
1.200000000000000000e+03 2.065257169306278229e-03 2.148135972674936056e-04
1.300000000000000000e+03 3.707657568156719208e-03 2.721085911616683006e-04
1.400000000000000000e+03 2.846079133450984955e-02 2.067283028736710548e-03
1.500000000000000000e+03 3.255805466324090958e-03 7.255447562783956528e-04
1.600000000000000000e+03 2.485571429133415222e-03 3.666555858217179775e-04
1.700000000000000000e+03 2.243708353489637375e-03 1.588568557053804398e-04
1.800000000000000000e+03 6.466832710430026054e-04 6.184226367622613907e-05
1.900000000000000000e+03 4.070139257237315178e-04 8.426799467997625470e-05
2.000000000000000000e+03 2.206597477197647095e-03 4.091747105121612549e-04
2.100000000000000000e+03 4.514492175076156855e-04 1.600553696334827691e-05
2.200000000000000000e+03 5.132423248142004013e-04 4.705996252596378326e-05
2.300000000000000000e+03 6.523692281916737556e-04 4.995372000848874450e-05
2.400000000000000000e+03 1.573842717334628105e-03 2.651421527843922377e-04
2.500000000000000000e+03 3.252960450481623411e-04 1.837754643929656595e-05
2.600000000000000000e+03 1.373471692204475403e-03 1.640057307668030262e-04
2.700000000000000000e+03 3.149690572172403336e-03 4.462736542336642742e-04
2.800000000000000000e+03 3.524063213262706995e-04 2.988453343277797103e-05
2.900000000000000000e+03 1.365795498713850975e-03 1.850731496233493090e-04
3.000000000000000000e+03 2.266926749143749475e-04 2.727303581195883453e-05
3.100000000000000000e+03 2.124338061548769474e-04 2.084176412608940154e-05
3.200000000000000000e+03 3.088288707658648491e-03 1.406856899848207831e-04
3.300000000000000000e+03 1.053901575505733490e-02 5.188959185034036636e-04
3.400000000000000000e+03 1.120783490478061140e-04 8.375286597583908588e-06
3.500000000000000000e+03 6.778070237487554550e-04 1.848564170359168202e-05
3.600000000000000000e+03 3.448759089224040508e-04 3.812797513091936707e-05
3.700000000000000000e+03 4.442539997398853302e-03 7.067693513818085194e-04
3.800000000000000000e+03 5.082702264189720154e-03 2.937602112069725990e-04
3.900000000000000000e+03 5.501812323927879333e-03 3.857853298541158438e-04
4.000000000000000000e+03 1.679242704994976521e-03 8.366187103092670441e-05
4.100000000000000000e+03 6.843830924481153488e-04 6.978215242270380259e-05
4200 0.00011906114377779886 8.959046681411564e-06
4300 0.0022710401099175215 0.00027820083778351545
4400 0.0012751464964821935 8.864272967912257e-05
4500 0.0013393086846917868 0.0001835055008996278
4600 0.0006006189505569637 2.5898945750668645e-05
4700 0.0007186653092503548 5.003565820516087e-05
4800 0.0006416984833776951 9.882853191811591e-05
4900 0.0011859603691846132 0.0002714664733503014
5000 0.008539026603102684 0.0008842017268761992
5100 0.0017748489044606686 0.00015278448699973524
5200 0.0066233971156179905 0.00040913181146606803
5300 0.0013542880769819021 0.00010082731023430824
5400 0.004269915632903576 0.00044083944521844387
5500 0.001880012103356421 6.433970702346414e-05
5600 0.00024419158580712974 3.905222547473386e-05
5700 0.0012151425471529365 0.00011632021050900221
5800 0.010302694514393806 0.0005433582118712366
5900 0.00019791483646258712 5.376557965064421e-06
6000 0.00023975103977136314 6.637824299104977e-06
6100 0.0011075130896642804 0.0003347207675687969
6200 0.0036901398561894894 0.0003408499760553241
6300 0.00015267552225850523 4.300335604057182e-06
6400 4.905788955511525e-05 2.0471793504839297e-06
6500 0.002477494766935706 0.00014521385310217738
6600 0.004739848896861076 0.0006190496496856213
6700 0.005487218499183655 0.0002957484975922853
6800 4.299803185858764e-05 1.4782148127778783e-06
6900 0.002209767233580351 0.00019149124273099005
7000 9.855678217718378e-05 3.815393938566558e-06
7100 0.0001629790640436113 1.322489060839871e-05
7200 0.0015469740610569715 9.561670594848692e-05
7300 0.00010874297731788829 2.4786608264548704e-05
7400 0.000481614435557276 7.063753582770005e-05
7500 0.002224260475486517 0.00028684138669632375
7600 0.0021307622082531452 0.00011306901433272287
7700 0.0012056662235409021 0.00016551866428926587
7800 0.001021448289975524 0.00011918712698388845
7900 0.001966755371540785 0.00010780336742755026
8000 0.0016653550555929542 0.00021866174938622862
8100 0.00013353937538340688 6.5869803620444145e-06
8200 0.00047655461821705103 8.916777733247727e-05
8300 7.561600068584085e-05 3.3431560950702988e-06
8400 0.0003105152281932533 5.864506965735927e-05
8500 0.0008459636010229588 3.234533505747095e-05
8600 0.00026082934346050024 3.1156618206296116e-05
8700 0.00015189762052614242 2.238766501250211e-05
