Epoch, PDE_Loss, BC_Loss
0.000000000000000000e+00 1.761831641197204590e+00 3.397302150726318359e+00
1.000000000000000000e+02 2.603372558951377869e-02 1.429875846952199936e-03
2.000000000000000000e+02 4.300837870687246323e-03 3.291259927209466696e-04
3.000000000000000000e+02 2.947095781564712524e-02 1.892301952466368675e-03
4.000000000000000000e+02 5.453438311815261841e-02 6.319207139313220978e-03
5.000000000000000000e+02 3.914052620530128479e-03 4.635127261281013489e-04
6.000000000000000000e+02 2.282395726069808006e-03 5.624482291750609875e-04
7.000000000000000000e+02 1.800912059843540192e-02 2.140137366950511932e-03
8.000000000000000000e+02 3.709034295752644539e-03 1.249493681825697422e-03
9.000000000000000000e+02 5.326335784047842026e-03 5.061033880338072777e-04
1.000000000000000000e+03 3.741954267024993896e-02 1.025807764381170273e-02
1.100000000000000000e+03 4.447991668712347746e-04 5.650496314046904445e-05
1.200000000000000000e+03 2.065257169306278229e-03 2.148135972674936056e-04
1.300000000000000000e+03 3.707657568156719208e-03 2.721085911616683006e-04
1.400000000000000000e+03 2.846079133450984955e-02 2.067283028736710548e-03
1.500000000000000000e+03 3.255805466324090958e-03 7.255447562783956528e-04
1.600000000000000000e+03 2.485571429133415222e-03 3.666555858217179775e-04
1.700000000000000000e+03 2.243708353489637375e-03 1.588568557053804398e-04
1.800000000000000000e+03 6.466832710430026054e-04 6.184226367622613907e-05
1.900000000000000000e+03 4.070139257237315178e-04 8.426799467997625470e-05
2.000000000000000000e+03 2.206597477197647095e-03 4.091747105121612549e-04
2.100000000000000000e+03 4.514492175076156855e-04 1.600553696334827691e-05
2.200000000000000000e+03 5.132423248142004013e-04 4.705996252596378326e-05
2.300000000000000000e+03 6.523692281916737556e-04 4.995372000848874450e-05
2.400000000000000000e+03 1.573842717334628105e-03 2.651421527843922377e-04
2.500000000000000000e+03 3.252960450481623411e-04 1.837754643929656595e-05
2.600000000000000000e+03 1.373471692204475403e-03 1.640057307668030262e-04
2.700000000000000000e+03 3.149690572172403336e-03 4.462736542336642742e-04
2.800000000000000000e+03 3.524063213262706995e-04 2.988453343277797103e-05
2.900000000000000000e+03 1.365795498713850975e-03 1.850731496233493090e-04
3.000000000000000000e+03 2.266926749143749475e-04 2.727303581195883453e-05
3.100000000000000000e+03 2.124338061548769474e-04 2.084176412608940154e-05
3.200000000000000000e+03 3.088288707658648491e-03 1.406856899848207831e-04
3.300000000000000000e+03 1.053901575505733490e-02 5.188959185034036636e-04
3.400000000000000000e+03 1.120783490478061140e-04 8.375286597583908588e-06
3.500000000000000000e+03 6.778070237487554550e-04 1.848564170359168202e-05
3.600000000000000000e+03 3.448759089224040508e-04 3.812797513091936707e-05
3.700000000000000000e+03 4.442539997398853302e-03 7.067693513818085194e-04
3.800000000000000000e+03 5.082702264189720154e-03 2.937602112069725990e-04
3.900000000000000000e+03 5.501812323927879333e-03 3.857853298541158438e-04
4.000000000000000000e+03 1.679242704994976521e-03 8.366187103092670441e-05
4.100000000000000000e+03 6.843830924481153488e-04 6.978215242270380259e-05
4200 0.00011906114377779886 8.959046681411564e-06
4300 0.0022710401099175215 0.00027820083778351545
4400 0.0012751464964821935 8.864272967912257e-05
4500 0.0013393086846917868 0.0001835055008996278
4600 0.0006006189505569637 2.5898945750668645e-05
4700 0.0007186653092503548 5.003565820516087e-05
4800 0.0006416984833776951 9.882853191811591e-05
4900 0.0011859603691846132 0.0002714664733503014
5000 0.008539026603102684 0.0008842017268761992
5100 0.0017748489044606686 0.00015278448699973524
5200 0.0066233971156179905 0.00040913181146606803
5300 0.0013542880769819021 0.00010082731023430824
5400 0.004269915632903576 0.00044083944521844387
5500 0.001880012103356421 6.433970702346414e-05
5600 0.00024419158580712974 3.905222547473386e-05
5700 0.0012151425471529365 0.00011632021050900221
5800 0.010302694514393806 0.0005433582118712366
