Epoch, PDE_Loss, BC_Loss
0 1.7373192310333252 3.57593035697937
100 0.030274629592895508 0.0016940963687375188
200 0.037498749792575836 0.002534323837608099
300 0.005326001439243555 0.0008539080154150724
400 0.0013785265618935227 0.00014170973736327142
500 0.0011356835020706058 0.0002038794627878815
600 0.003749090014025569 0.0002684441569726914
700 0.009236062876880169 0.001484495704062283
800 0.0029003743547946215 0.00023869823780842125
900 0.0006231657462194562 5.7758865295909345e-05
1000 0.0048685199581086636 0.0007970357546582818
1100 0.007611188106238842 0.0010917880572378635
1200 0.0021204231306910515 0.0002444643178023398
1300 0.002802223199978471 0.0004495411703828722
1400 0.007859267294406891 0.0012340544490143657
1500 0.0008782181539572775 0.00013002371997572482
1600 0.001831772387959063 0.00046759023098275065
1700 0.0005749884876422584 5.116350075695664e-05
1800 0.0057664904743433 0.000339491234626621
1900 0.0007349874940700829 4.888422699877992e-05
2000 0.0018884001765400171 0.0002229714737040922
2100 0.007864001207053661 0.00037465590867213905
2200 0.024338560178875923 0.001509957597590983
2300 0.002275624079629779 0.0015638578915968537
2400 0.00024383608251810074 1.5023830201243982e-05
2500 0.0026547862216830254 0.000345363951055333
2600 0.0016954466700553894 0.0005736580351367593
2700 0.001497198361903429 8.829881699057296e-05
2800 0.00304965628311038 0.0003410555946175009
2900 0.00872853584587574 0.0010682902066037059
3000 0.000229185214266181 1.661066198721528e-05
3100 0.00013096336624585092 1.0781156561279204e-05
3200 0.0008684666827321053 3.093939085374586e-05
3300 0.0029849265702068806 0.0002691331319510937
3400 0.0015491880476474762 0.0001667259493842721
3500 0.0017729513347148895 0.0008309883414767683
3600 0.0003878818533848971 5.714442522730678e-05
3700 0.005533367395401001 0.0007413725834339857
3800 0.0017038846854120493 0.0001762153406161815
3900 0.0005435938364826143 6.26628243480809e-05
4000 0.0015177271561697125 0.00020386218966450542
4100 0.0011043662670999765 0.00016827601939439774
4200 0.0008070477051660419 6.377848330885172e-05
4300 0.002410345012322068 0.0004713950038421899
4400 0.0035801781341433525 0.00032925326377153397
4500 0.003010201035067439 0.0003491856623440981
4600 0.0012953084660694003 5.9462203353177756e-05
4700 0.001687976298853755 0.0004980711964890361
4800 0.0005030840984545648 0.00011641596211120486
4900 0.0007297348929569125 2.1014679077779874e-05
5000 0.000799207657109946 2.5355186153319664e-05
5100 0.00010409808601252735 6.235799901332939e-06
5200 0.005152147728949785 0.0006088853697292507
5300 0.00045238438178785145 3.0740920919924974e-05
5400 0.0013729676138609648 7.127896242309362e-05
5500 0.0006261820090003312 4.91979080834426e-05
5600 0.001611899002455175 8.213664114009589e-05
5700 0.0020167245529592037 0.00010247817408526316
5800 0.001045034732669592 4.7157031076494604e-05
5900 0.0005893543711863458 7.802758045727387e-05
6000 0.005319300107657909 0.000658276432659477
6100 0.0025255323853343725 0.0002874636556953192
6200 0.0013943135272711515 8.876624633558095e-05
6300 3.011408625752665e-05 5.299546046444448e-07
6400 0.0002070554328383878 1.7199643480125815e-05
6500 0.00016702644643373787 2.374187533860095e-05
6600 0.0028017729055136442 0.00016063402290455997
6700 7.096093031577766e-05 7.621246822964167e-06
6800 0.0016456060111522675 0.0002836287021636963
6900 0.0011374716414138675 4.219991387799382e-05
7000 0.00010782458411995322 1.746647831168957e-05
7100 2.0904324628645554e-05 4.4466275994636817e-07
7200 4.0994906157720834e-05 5.46985484106699e-06
7300 0.0010960148647427559 5.302442150423303e-05
7400 0.0007446743547916412 3.4332744689891115e-05
7500 0.00020658558059949428 2.3556012820336036e-05
7600 0.001967185642570257 8.299230830743909e-05
7700 0.00021603431378025562 6.86795283399988e-06
7800 3.7464149500010535e-05 5.380688435252523e-06
7900 2.5274717700085603e-05 3.4848183076974237e-06
8000 1.5921668818918988e-05 2.187775578477158e-07
8100 9.539494931232184e-05 3.4485442483855877e-06
8200 8.251750114141032e-05 4.100045316590695e-06
8300 9.342779958387837e-05 6.986137577769114e-06
8400 0.000261432898696512 1.1184222785232123e-05
8500 2.399765253358055e-05 3.041746822418645e-06
8600 0.0007701265858486295 7.308481144718826e-05
8700 0.0003962776972912252 2.683786988200154e-05
8800 0.00025339226704090834 7.135476334951818e-05
8900 3.1108946132007986e-05 2.495449734851718e-06
9000 1.6791682355687954e-05 9.857076292973943e-07
9100 3.1681098334956914e-05 1.8366599761066027e-06
9200 1.6272151697194204e-05 5.984426252325648e-07
9300 0.0007677496178075671 7.127677963580936e-05
9400 0.0004201144038233906 2.543113259889651e-05
9500 0.0011029350571334362 4.844277282245457e-05
9600 8.147389598889276e-05 6.486267011496238e-06
9700 7.905153324827552e-05 5.630949999613222e-06
9800 0.000359388068318367 2.9998820537002757e-05
9900 0.00019786969642154872 1.5514957340201363e-05
10000 0.0002473759523127228 5.6416374718537554e-05
10100 0.00024701908114366233 1.2738101759168785e-05
10200 0.00012849112681578845 5.098429937788751e-06
10300 2.192455212934874e-05 1.5275170426320983e-06
10400 7.233347787405364e-06 1.4152226412988966e-07
10500 5.423489710665308e-05 9.271541784983128e-06
10600 1.3641825717058964e-05 7.785158118167601e-07
10700 6.251618469832465e-05 1.9121396690024994e-05
10800 5.819085799885215e-06 7.797288503752497e-08
